RepeFonct,LineRev,LineStatus,ComponentKind,Contrat,Manufact,ActuKind,ActuRef,PSU_ECS1,PSU_Volt1,CompartAlloc,t_CloseReq,ValvFailSfPositn
-DVE1112RA-,I.5,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE1116RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE1212RA-,I.5,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE1216RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE1312RA-,I.5,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE1316RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE1412RA-,I.5,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE1416RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2110RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2110RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2113RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2114RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2115RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2116RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2116RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2118RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2119RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2120RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2120RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2123RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2126RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2126RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2127RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2128RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2129RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2130RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2136RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2210RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2210RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2212RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2214RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2215RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2216RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2216RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2217RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2218RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2219RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2220RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2220RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2222RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2226RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2226RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2227RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2228RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2229RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2230RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2236RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2301RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2310RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2310RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2312RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2314RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2315RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2316RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
-DVE2316RAM,I.3,Validated,Fire damper actuator,/HK2721,NUVIA,null,NuACT-260,null,24,null,[NE],No
-DVE2317RA-,I.3,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2318RA-,I.4,Validated,Balancing Damper,/HK2721,F2A,null,[NE],null,[NE],null,[NE],[NE]
-DVE2320RA-,I.3,Validated,Fire Damper,/HK2721,NUVIA,null,[NE],null,[NE],null,[NE],[NE]
