RepeFonct,ElemSys,LibOccur,LineRev,ComponentKind,Contrat,Type,Manufact,ActuKind,ActuRef,PSU_ECS1,PSU_Volt1,CompartAlloc,t_CloseReq,ValvFailSfPositn,SGApp
-DCL1101RA-,-DCL,FRESH AIR CTRL DMPR DCLm1,I.2,Motorized control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-03-1
-DCL1101RAM,-DCL,FRESH AIR CTRL DMPR MTR DCLm1,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Control Damper,null,-LVF1101TB-,400,-LVFB13AJC-,null,No,-
-DCL1221RA-,-DCL,FRESH AIR ISL DMPR DCLm1,I.2,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DCL1221RAM,-DCL,FRESH AIR ISL DMPR MTR DCLm1,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LVF1101TB-,400,-LVFA55AJC-,null,No,-
-DCL1301RA-,-DCL,MANUAL ISL DMPR DCLm1,I.2,Manual isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL1303RA-,-DCL,ISL DMPR UPSTR IOD LN 1,I.2,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DCL1303RAM,-DCL,ISL DMPR MTR UPSTR IOD LN 1,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LVF1101TB-,400,-LVFK56AJC-,null,No,-
-DCL1304RA-,-DCL,ISL DMPR DNSTR IOD LN 1,I.2,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DCL1304RAM,-DCL,ISL DMPR MTR DNSTR IOD LN 1,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LVF1101TB-,400,-LVFB07AJC-,null,No,-
-DCL1312RA-,-DCL,BAL DMPR IOD LN 1,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL1430RA-,-DCL,NON RETURN DMPR DCLm1,I.2,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL1434RA-,-DCL,BAL DMPR DCLm1,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL1441RA-,-DCL,NON RETURN DMPR FAN DCLm1,I.2,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL1443RA-,-DCL,AHU DNSTR BAL DMPR DCLm1,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL1445RA-,-DCL,AHU UPSTR BAL DMPR DCLm1,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL1451RA-,-DCL,AHU UPSTR ISL DMPR DCLm1,I.2,Manual isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL1452RA-,-DCL,RECIRC LN BAL DMPR DCLm1,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL2101RA-,-DCL,FRESH AIR CTRL DMPR DCLb2,I.2,Motorized control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-03-1
-DCL2101RAM,-DCL,FRESH AIR CTRL DMPR MTR DCLb2,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Control Damper,null,-LKL1201TB-,400,-LKL441AJC-,null,No,-
-DCL2221RA-,-DCL,FRESH AIR ISL DMPR DCLb2,I.2,Motorized isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-02-1
-DCL2221RAM,-DCL,FRESH AIR ISL DMPR MTR DCLb2,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Isolation Damper,null,-LVB1201TB-,400,-LVB923AJC-,null,No,-
-DCL2301RA-,-DCL,MANUAL ISL DMPR DCLb2,I.2,Manual isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL2430RA-,-DCL,NON RETURN DMPR DCLb2,I.2,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL2434RA-,-DCL,BAL DMPR DCLb2,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL2442RA-,-DCL,NON RETURN DMPR FAN DCLb2,I.2,Non return damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL2444RA-,-DCL,AHU DNSTR BAL DMPR DCLb2,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL2445RA-,-DCL,AHU UPSTR BAL DMPR DCLb2,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL2451RA-,-DCL,AHU UPSTR ISL DMPR DCLb2,I.2,Manual isolation damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL2452RA-,-DCL,RECIRC LN BAL DMPR DCLb2,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL3101RA-,-DCL,FRESH AIR CTRL DMPR DCLb3,I.2,Motorized control damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-03-1
-DCL3101RAM,-DCL,FRESH AIR CTRL DMPR MTR DCLb3,I.4,null,/HK2721,ELECTRICAL ACTUATOR,null,Control Damper,null,-LLW1201TB-,400,-LLW205AJC-,null,No,-
