n.RepeFonct,ElemSys,n.LineRev,n.ComponentKind,n.Contrat,n.ActuKind,n.PSU_ECS1,n.PSU_Volt1,n.t_CloseReq,Type,n.ValvFailSfPositn,SGApp
-DCL1101RA-,-DCL,I.6,Motorized control damper,/HK2721,null,null,null,null,DAMPER,null,SG41-03-1
-DCL1101RAM,-DCL,I.9,Actuator,/HK2721,Control Damper,-LVF1101TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL1221RA-,-DCL,I.7,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL1221RAM,-DCL,I.11,Actuator,/HK2721,Isolation Damper,-LVF1101TB-,400,5,ELECTRICAL ACTUATOR,No,-
-DCL1301RA-,-DCL,I.6,Manual isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL1303RA-,-DCL,I.7,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL1303RAM,-DCL,I.9,Actuator,/HK2721,Isolation Damper,-LVF1101TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL1304RA-,-DCL,I.6,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL1304RAM,-DCL,I.8,Actuator,/HK2721,Isolation Damper,-LVF1101TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL1312RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL1430RA-,-DCL,I.7,Non return damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL1434RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL1441RA-,-DCL,I.7,Non return damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL1443RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL1445RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL1451RA-,-DCL,I.6,Manual isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL1452RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL2101RA-,-DCL,I.6,Motorized control damper,/HK2721,null,null,null,null,DAMPER,null,SG41-03-1
-DCL2101RAM,-DCL,I.9,Actuator,/HK2721,Control Damper,-LKL1201TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL2221RA-,-DCL,I.7,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL2221RAM,-DCL,I.11,Actuator,/HK2721,Isolation Damper,-LVB1201TB-,400,5,ELECTRICAL ACTUATOR,No,-
-DCL2301RA-,-DCL,I.6,Manual isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL2430RA-,-DCL,I.7,Non return damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL2434RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL2442RA-,-DCL,I.7,Non return damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL2444RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL2445RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL2451RA-,-DCL,I.6,Manual isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL2452RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL3101RA-,-DCL,I.6,Motorized control damper,/HK2721,null,null,null,null,DAMPER,null,SG41-03-1
-DCL3101RAM,-DCL,I.9,Actuator,/HK2721,Control Damper,-LLW1201TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL3221RA-,-DCL,I.7,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL3221RAM,-DCL,I.11,Actuator,/HK2721,Isolation Damper,-LVC1201TB-,400,5,ELECTRICAL ACTUATOR,No,-
-DCL3301RA-,-DCL,I.6,Manual isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL3430RA-,-DCL,I.7,Non return damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL3434RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL3442RA-,-DCL,I.7,Non return damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL3444RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL3445RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL3451RA-,-DCL,I.6,Manual isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL3452RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL4101RA-,-DCL,I.6,Motorized control damper,/HK2721,null,null,null,null,DAMPER,null,SG41-03-1
-DCL4101RAM,-DCL,I.9,Actuator,/HK2721,Control Damper,-LVI1101TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL4221RA-,-DCL,I.7,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL4221RAM,-DCL,I.11,Actuator,/HK2721,Isolation Damper,-LVI1101TB-,400,5,ELECTRICAL ACTUATOR,No,-
