RepeFonct,ElemSys,LineRev,LineStatus,ComponentKind,Contrat,ActuKind,PSU_ECS1,PSU_Volt1,t_CloseReq,ValvFailSfPositn
-DVE1112RA-,DVE,I.2,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE1116RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE1212RA-,DVE,I.2,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE1216RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE1312RA-,DVE,I.2,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE1316RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE1412RA-,DVE,I.2,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE1416RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2110RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2110RAM,DVE,I.6,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT1xx4AI-,24,-,No
-DVE2113RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2114RA-,DVE,I.2,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2115RA-,DVE,I.1,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2116RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2116RAM,DVE,I.6,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT1xx4AI-,24,-,No
-DVE2118RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2119RA-,DVE,I.1,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2120RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2120RAM,DVE,I.6,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT1xx4AI-,24,-,No
-DVE2123RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2126RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2126RAM,DVE,I.6,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT1xx4AI-,24,-,No
-DVE2127RA-,DVE,I.2,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2128RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2129RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2130RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2136RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2210RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2210RAM,DVE,I.8,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT2086AI-,24,-,No
-DVE2212RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2214RA-,DVE,I.2,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2215RA-,DVE,I.1,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2216RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2216RAM,DVE,I.8,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT2086AI-,24,-,No
-DVE2217RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2218RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2219RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2220RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2220RAM,DVE,I.8,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT2086AI-,24,-,No
-DVE2222RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2226RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2226RAM,DVE,I.8,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT2086AI-,24,-,No
-DVE2227RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2228RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2229RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2230RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2236RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2301RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2310RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2310RAM,DVE,I.8,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT3086AI-,24,-,No
-DVE2312RA-,DVE,I.10,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2314RA-,DVE,I.2,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2315RA-,DVE,I.1,Validated,Balancing Damper,/HK2721,null,null,null,null,null
-DVE2316RA-,DVE,I.10,Validated,Fire Damper,/HK2721,null,null,null,null,null
-DVE2316RAM,DVE,I.8,Validated,Fire damper actuator,/HK2721,Fire Damper,-JDT3086AI-,24,-,No
